matchId,track,casePostId,controlPostId,creatorId,matchGrade,dateGapDays,caseLogLift,controlLogLift,outcomeDelta,caseReferenceIds
MB-f949cf862bc6,B,LI-7467168415565197313,LI-7475141526679949312,https://www.linkedin.com/in/mischa-collins,AH1,22,-0.2049,0.5983,-0.8031,16
MB-1b4fa57278d0,B,LI-7467168415565197313,LI-7478402342208552962,https://www.linkedin.com/in/mischa-collins,AH1,31,-0.2049,0.6036,-0.8085,16
MB-b6264d011c56,B,LI-7465341043337555968,LI-7478387311614025728,https://www.linkedin.com/in/charlie-hills,AH1,36,0.4829,0.51,-0.0271,17
MB-894ee5900a2d,B,LI-7465341043337555968,LI-7478749906967408640,https://www.linkedin.com/in/charlie-hills,AH1,37,0.4829,0.2532,0.2297,17
MB-4fee327a1344,B,LI-7466821513392865280,LI-7480191470990290945,https://www.linkedin.com/in/ericpartaker,AH1,36.9,0.4945,1.0562,-0.5617,18
MB-dfcfb82cbe92,B,LI-7465008937407356928,LI-7480591547210657792,https://www.linkedin.com/in/ericpartaker,AH2,43,1.1897,1.0399,0.1498,19
MB-cbecf7377b78,B,LI-7465008937407356928,LI-7481316358425710592,https://www.linkedin.com/in/ericpartaker,AH2,45,1.1897,0,1.1897,19
MB-42238f6d5baf,B,LI-7465701646250070016,LI-7478387295339966464,https://www.linkedin.com/in/alex-vacca,AH1,35,0.474,-0.1306,0.6046,21
MB-81ee15373e3e,B,LI-7465748779611197440,LI-7478070196038004736,https://www.linkedin.com/in/will-mctighe,AH1,34,0.404,0.371,0.033,23
MB-359861704a53,B,LI-7465695889701990400,LI-7480591547210657792,https://www.linkedin.com/in/ericpartaker,AH2,41.1,0.4223,1.0399,-0.6176,24
MB-d3d7ef98abb2,B,LI-7465695889701990400,LI-7481316358425710592,https://www.linkedin.com/in/ericpartaker,AH2,43.1,0.4223,0,0.4223,24
MB-1c29b0e633c2,B,LI-7464969341328019456,LI-7468330805958914048,https://www.linkedin.com/in/amit-kumar-rai-a945842b,AH2,9.3,0.1112,0.2113,-0.1001,25
MB-09c074b93a9d,B,LI-7464969341328019456,LI-7469712250170150912,https://www.linkedin.com/in/amit-kumar-rai-a945842b,AH2,13.1,0.1112,-0.2683,0.3795,25
MB-e5835e3fab5d,B,LI-7464950856669458432,LI-7466111174909280256,https://www.linkedin.com/in/marek-dabrowski-8a502370,AH3,3.2,4.7207,1.5841,3.1366,26
MB-9b9b98a6ff56,B,LI-7464950856669458432,LI-7463559371856420864,https://www.linkedin.com/in/marek-dabrowski-8a502370,AH3,3.8,4.7207,0.4855,4.2352,26
MB-2979e3b9f4d8,B,LI-7465337376018481152,LI-7480562178845167616,https://www.linkedin.com/in/magalidereu,AH2,42,0.7002,0.3394,0.3608,27
MB-5b9e8667bb83,B,LI-7437105309875183616,LI-7470430474260361216,https://www.linkedin.com/in/yonathan-levy,AH3,92,0.8755,0.1173,0.7582,28
MB-47c967e53fd1,B,LI-7437105309875183616,LI-7472241601290014721,https://www.linkedin.com/in/yonathan-levy,AH3,97,0.8755,0.1291,0.7464,28
MB-59d5449fe5ba,B,LI-7463202442491650048,LI-7478058076906885121,https://www.linkedin.com/in/marciadwilliams,AH1,41,-0.1711,1.3336,-1.5046,33
MB-639349a902f0,B,LI-7463202442491650048,LI-7480957180117118976,https://www.linkedin.com/in/marciadwilliams,AH1,49,-0.1711,-0.3298,0.1587,33
MB-5fdc2ba08e3d,B,LI-7462819434639056896,LI-7470430474260361216,https://www.linkedin.com/in/yonathan-levy,AH1,21,-0.0225,0.1173,-0.1398,36
MB-481974892f31,B,LI-7462819434639056896,LI-7472241601290014721,https://www.linkedin.com/in/yonathan-levy,AH1,26,-0.0225,0.1291,-0.1515,36
MB-f7116309b877,B,LI-7461899653442060288,LI-7474121552498794496,https://www.linkedin.com/in/hashimhamdanek,AH1,33.7,2.8817,1.8331,1.0486,39
MB-093606248de2,B,LI-7462103543844388864,LI-7478408949478748160,https://www.linkedin.com/in/joshejsanders,AH2,45,-0.2823,-0.6689,0.3866,42
MB-5467fd75c42e,B,LI-7462103543844388864,LI-7479858961479827456,https://www.linkedin.com/in/joshejsanders,AH2,49,-0.2823,-0.0248,-0.2575,42
MB-1c556c39db2b,B,LI-7462022923265134592,LI-7478325584608100352,https://www.linkedin.com/in/richardvanderblom,AH1,45,0.7716,0.5078,0.2638,43
MB-bdf61d965298,B,LI-7462094771885449216,LI-7477315048940478464,https://www.linkedin.com/in/mischa-collins,AH1,42,0.0436,-0.245,0.2886,45
MB-e555ac49c7f2,B,LI-7461007326070800384,LI-7470430474260361216,https://www.linkedin.com/in/yonathan-levy,AH3,26,-0.1278,0.1173,-0.2451,48
MB-ecb6b333734c,B,LI-7461007326070800384,LI-7472241601290014721,https://www.linkedin.com/in/yonathan-levy,AH3,31,-0.1278,0.1291,-0.2569,48
