candidateId,creator,profileUrl,cohort,followerCount,normalizedSizeCell,rawOriginalHistoryCount,fetchedActivityCount,hitThirtyPostCap,earliestFetchedActivityAt,matureWindowCount,eligibleOriginalCount,distinctWeeks,englishShare,relevantShare,lowValueShare,mediaRetrievalRate,coverageStatus,eligibilityStatus,thresholdReason,contentReviewStatus,contentReviewFlags,eligibilityNote,selectionHash,radarPanel,decisionPanel,strictPanel,selectedTrackA
IMP-E3,Christoph Roser,https://www.linkedin.com/in/christoph-roser-allaboutlean,implementation_adjacent,15429,growing_5k_20k,30,30,true,2026-06-29T10:05:05.600Z,16,16,3,1,0.5,0,1,left_censored,not_confirmed,fewer_than_20_mature_originals_observed|fewer_than_8_weeks_observed,no_heuristic_flag,,Thirty-activity retrieval cap ended after the window start; missing earlier history could change eligibility.,07a7e86da4d207af72aeb8b50138b726316e83cc41414e01d44ae4cc8017373d,false,false,false,false
IMP-E4,Elisabeth Swan,https://www.linkedin.com/in/elisabethswan,implementation_adjacent,4645,near_500_5k,25,30,true,2026-02-18T15:42:57.925Z,24,24,14,1,0.4167,0.2917,1,confirmed_pass,eligible,,manual_review_required,heuristic_subject_relevance_below_50pct,"Mechanical cadence gate passed. Heuristic topic labels are diagnostics, not exclusion evidence.",34ab0e507f6a63128d240d3eff0a5050eca6f3a4484c10b6309f26680c92c4dc,true,true,true,true
IMP-X1,Leila Gharani,https://www.linkedin.com/in/leilagharani,implementation_adjacent,170947,established_20k_plus,26,30,true,2026-02-19T18:36:17.184Z,24,24,18,1,0.8333,0,1,confirmed_pass,eligible,,no_heuristic_flag,,"Mechanical cadence gate passed. Heuristic topic labels are diagnostics, not exclusion evidence.",5e26d8ac721d4ffe720135a33d9c0513d60efce31422a45d9018c7375d3d73d7,true,true,true,true
IMP-X2,Rachel Woods,https://www.linkedin.com/in/woodsrach,implementation_adjacent,44642,established_20k_plus,23,30,true,2026-06-03T13:01:02.757Z,17,17,6,1,0.8235,0,1,left_censored,not_confirmed,fewer_than_20_mature_originals_observed|fewer_than_8_weeks_observed,no_heuristic_flag,,Thirty-activity retrieval cap ended after the window start; missing earlier history could change eligibility.,0ef55261b65f69d15b65c12ac6f9131e9ebf994424a513ea57013069a36a5e1f,true,true,false,false
IMP-X3,Lisa Crosbie,https://www.linkedin.com/in/lisa-crosbie,implementation_adjacent,41883,established_20k_plus,23,30,true,2026-03-16T10:15:00.115Z,20,20,13,1,0.9,0.15,1,confirmed_pass,eligible,,no_heuristic_flag,,"Mechanical cadence gate passed. Heuristic topic labels are diagnostics, not exclusion evidence.",56137edb8e2c39217779262a9f7ff6ee51aa9b3278abc542c37c356413939666,true,true,true,true
IMP-X4,Katie Anderson,https://www.linkedin.com/in/kbjanderson,implementation_adjacent,25972,established_20k_plus,13,30,true,2026-07-13T16:10:48.165Z,2,2,1,1,0.5,0.5,1,left_censored,not_confirmed,fewer_than_20_mature_originals_observed|fewer_than_8_weeks_observed,no_heuristic_flag,,Thirty-activity retrieval cap ended after the window start; missing earlier history could change eligibility.,cb8b4926a31cf6e988810bfb48bbdc0ce0c985a0fc0134a0bae81f3c16661cbe,false,false,false,false
PLN-N1,Mary Kate Kloeblen,https://www.linkedin.com/in/mary-kate-kloeblen-16052225,planning_logistics,4058,near_500_5k,18,18,false,2026-05-06T13:11:47.771Z,13,13,7,1,1,0,1,observed_fail,not_confirmed,fewer_than_20_mature_originals_observed|fewer_than_8_weeks_observed,no_heuristic_flag,,Observed history did not meet the frozen cadence gate and was not left-censored.,31431194d972a999eb72aff14e86a1b8c0548eb86c329e6eaafe55f11091cd36,true,false,false,false
PLN-N2,John Kloetzing,https://www.linkedin.com/in/john-kloetzing,planning_logistics,1370,near_500_5k,22,30,true,2026-05-05T06:30:00.363Z,18,18,11,1,0.9444,0,1,left_censored,not_confirmed,fewer_than_20_mature_originals_observed,no_heuristic_flag,,Thirty-activity retrieval cap ended after the window start; missing earlier history could change eligibility.,7157023b7111663d40bbfc8adc7b18667672c74aa4f0de9ac1ef1dc8f62db202,true,true,false,false
PRC-N1,Nikhil Tripathi,https://www.linkedin.com/in/tripathinikhil,purchasing_procurement,4913,near_500_5k,29,30,true,2026-07-09T12:28:57.668Z,9,9,2,1,0.4444,0,1,left_censored,not_confirmed,fewer_than_20_mature_originals_observed|fewer_than_8_weeks_observed,manual_review_required,heuristic_subject_relevance_below_50pct,Thirty-activity retrieval cap ended after the window start; missing earlier history could change eligibility.,49d9b5d8ae45cde853a4359aaac8f578d6548c5e737e86a657c6e06ea0fc4d77,false,false,false,false
PRC-N2,John Kill,https://www.linkedin.com/in/johnckill,purchasing_procurement,3130,near_500_5k,28,30,true,2026-04-01T13:02:17.938Z,27,27,12,1,1,0,1,confirmed_pass,eligible,,no_heuristic_flag,,"Mechanical cadence gate passed. Heuristic topic labels are diagnostics, not exclusion evidence.",b74022484a63a2183bcb39ee829a71a37075b43532f1cb5fd491e8115294e961,true,true,true,true
IMP-N1,Stuart Hardman,https://www.linkedin.com/in/stuart-hardman,implementation_adjacent,985,near_500_5k,19,20,false,2026-02-18T07:34:06.718Z,16,16,11,1,0.5,0.125,1,observed_fail,not_confirmed,fewer_than_20_mature_originals_observed,no_heuristic_flag,,Observed history did not meet the frozen cadence gate and was not left-censored.,009d2f3a8b6369c7974d4c5c5b3b19a381862d56f2dad8d13f9bde87796402e1,true,true,false,false
IMP-N2,Niranjan Kulkarni,https://www.linkedin.com/in/niranjan-kulkarni-pk,implementation_adjacent,4751,near_500_5k,29,30,true,2026-05-20T03:31:01.018Z,24,24,9,1,0.9583,0.0417,1,confirmed_pass,eligible,,no_heuristic_flag,,"Mechanical cadence gate passed. Heuristic topic labels are diagnostics, not exclusion evidence.",a4580ca33d4f1fda092de97776cfe70372a93c5b366ba12f38e76ea124a35811,true,true,true,true
