week,slug,post_date,publish_time,post_url,topic_type,hook_type,hook_number,hero_number,layout,illustration_style,section_count,gemini_variant,impressions,members_reached,profile_viewers,followers_gained,reactions,comments,reposts,saves,sends,engagement_rate,reach_efficiency,save_rate,follower_conversion,composite_score,top_seniority,top_industry,top_company_size
2026-W08,maersk-post,"Feb 20, 2026",2:30 PM,https://www.linkedin.com/feed/update/urn:li:share:7430619872558174208,unknown,unknown,unknown,unknown,unknown,unknown,unknown,v0,55142,37264,189,114,361,36,30,63,27,0.94,67.58,0.17,0.31,249.94,Senior,"Transportation, Logistics, Supply Chain and Storage","10,001+ employees"
2026-W09,zara-post,"Feb 23, 2026",12:33 PM,https://www.linkedin.com/feed/update/urn:li:share:7431614666331549696,unknown,unknown,unknown,unknown,unknown,unknown,unknown,v1,731,483,1,2,13,3,0,1,0,2.33,66.07,0.21,0.41,5.33,Senior,"Transportation, Logistics, Supply Chain and Storage","10,001+ employees"
2026-W09,nike-post,"Feb 27, 2026",3:04 PM,https://www.linkedin.com/feed/update/urn:li:share:7433165077865721856,unknown,unknown,unknown,unknown,unknown,unknown,unknown,v1,565,345,2,1,8,0,0,0,0,1.42,61.06,0.0,0.29,1.42,Senior,"Transportation, Logistics, Supply Chain and Storage","10,001+ employees"
2026-W09,dabbawalas-post,"Mar 1, 2026",3:03 PM,https://www.linkedin.com/feed/update/urn:li:share:7433889769698344960,unknown,unknown,unknown,unknown,unknown,unknown,unknown,v1,335,192,2,0,5,3,0,1,0,2.69,57.31,0.52,0.0,5.69,Senior,"Transportation, Logistics, Supply Chain and Storage","10,001+ employees"
